03:42:21 DONE: file:/media/Movies/Документальные/BBC Series/BBC.How.Earth.Made.Us.1of5.Deep.Earth.HDTV.x264.AC3.MVGroup.org.mkv, audio:-1, size:512x288
03:46:48 DONE: file:/media/Movies/Документальные/BBC Series/BBC.How.Earth.Made.Us.5of5.Human.Planet.HDTV.x264.AC3.MVGroup.org.mkv, audio:-1, size:512x288
04:22:30 DONE: file:/media/Movies/Документальные/BBC Series/BBC - Сверхмассивные черные дыры BBC - Supermassive black holes (2006) DVDRip/BBC_SupermassiveBlackHoles_DVDRip.avi, audio:-1, size:512x384
04:53:41 DONE: file:/media/Movies/Документальные/BBC Series/BBC.Richard.Hammonds.Invisible.Worlds.HDTV.x264.AC3.MVGroup.org/BBC.Richard.Hammonds.Invisible.Worlds.2of3.Out.of.Sight.HDTV.x264.AC3.MVGroup.org.mkv, audio:-1, size:512x288
04:55:11 DONE: file:/media/Movies/Документальные/BBC Series/BBC.Richard.Hammonds.Invisible.Worlds.HDTV.x264.AC3.MVGroup.org/BBC.Richard.Hammonds.Invisible.Worlds.1of3.Speed.Limits.HDTV.x264.AC3.MVGroup.org.mkv, audio:-1, size:512x288
05:23:06 DONE: file:/media/Movies/Документальные/N.G.Ispitayte.svoy.mozg.(1.sezon.3.serii.iz.3).2011.DivX.DVDRip/N.G.Ispitayte.svoy.mozg.(1.sezon.01.seriya.iz.3).2011.DivX.DVDRip.avi, audio:-1, size:512x278
05:25:27 DONE: file:/media/Movies/Документальные/N.G.Ispitayte.svoy.mozg.(1.sezon.3.serii.iz.3).2011.DivX.DVDRip/N.G.Ispitayte.svoy.mozg.(1.sezon.03.seriya.iz.3).2011.DivX.DVDRip.avi, audio:-1, size:512x278
05:53:56 DONE: file:/media/Movies/Документальные/N.G.Ispitayte.svoy.mozg.(1.sezon.3.serii.iz.3).2011.DivX.DVDRip/N.G.Ispitayte.svoy.mozg.(1.sezon.02.seriya.iz.3).2011.DivX.DVDRip.avi, audio:-1, size:512x278
06:26:40 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_08_serija.mkv, audio:-1, size:512x288
06:43:00 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_05_serija.mkv, audio:-1, size:512x288
07:17:23 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_11_serija.mkv, audio:-1, size:512x288
07:33:10 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_02_serija.mkv, audio:-1, size:512x288
08:07:36 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_16_serija.mkv, audio:-1, size:512x288
08:13:54 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_15_serija.mkv, audio:-1, size:512x288
08:52:23 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_10_serija.mkv, audio:-1, size:512x288
08:57:29 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_06_serija.mkv, audio:-1, size:512x288
09:31:47 DONE: file:/media/Movies/Документальные/The Universe/vselennaja_07_serija.mkv, audio:-1, size:512x288
